Time	Node	Type	Packets	
1	router0	CacheHits	0
1	router0	CacheMisses	0
2	router0	CacheHits	0
2	router0	CacheMisses	74
3	router0	CacheHits	0
3	router0	CacheMisses	73
4	router0	CacheHits	0
4	router0	CacheMisses	72
5	router0	CacheHits	0
5	router0	CacheMisses	72
6	router0	CacheHits	0
6	router0	CacheMisses	73
7	router0	CacheHits	0
7	router0	CacheMisses	74
8	router0	CacheHits	0
8	router0	CacheMisses	72
9	router0	CacheHits	0
9	router0	CacheMisses	72
10	router0	CacheHits	0
10	router0	CacheMisses	72
11	router0	CacheHits	0
11	router0	CacheMisses	75
12	router0	CacheHits	0
12	router0	CacheMisses	72
13	router0	CacheHits	0
13	router0	CacheMisses	72
14	router0	CacheHits	0
14	router0	CacheMisses	72
15	router0	CacheHits	0
15	router0	CacheMisses	75
16	router0	CacheHits	0
16	router0	CacheMisses	72
17	router0	CacheHits	0
17	router0	CacheMisses	72
18	router0	CacheHits	0
18	router0	CacheMisses	72
19	router0	CacheHits	0
19	router0	CacheMisses	75
20	router0	CacheHits	0
20	router0	CacheMisses	72
21	router0	CacheHits	0
21	router0	CacheMisses	72
22	router0	CacheHits	0
22	router0	CacheMisses	72
23	router0	CacheHits	0
23	router0	CacheMisses	75
24	router0	CacheHits	0
24	router0	CacheMisses	72
25	router0	CacheHits	0
25	router0	CacheMisses	72
26	router0	CacheHits	0
26	router0	CacheMisses	72
27	router0	CacheHits	0
27	router0	CacheMisses	75
28	router0	CacheHits	0
28	router0	CacheMisses	72
29	router0	CacheHits	0
29	router0	CacheMisses	72
30	router0	CacheHits	0
30	router0	CacheMisses	72
31	router0	CacheHits	0
31	router0	CacheMisses	75
32	router0	CacheHits	0
32	router0	CacheMisses	72
33	router0	CacheHits	0
33	router0	CacheMisses	72
34	router0	CacheHits	0
34	router0	CacheMisses	72
35	router0	CacheHits	0
35	router0	CacheMisses	75
36	router0	CacheHits	0
36	router0	CacheMisses	72
37	router0	CacheHits	0
37	router0	CacheMisses	72
38	router0	CacheHits	0
38	router0	CacheMisses	72
39	router0	CacheHits	0
39	router0	CacheMisses	75
40	router0	CacheHits	0
40	router0	CacheMisses	72
41	router0	CacheHits	0
41	router0	CacheMisses	72
42	router0	CacheHits	0
42	router0	CacheMisses	72
43	router0	CacheHits	0
43	router0	CacheMisses	75
44	router0	CacheHits	0
44	router0	CacheMisses	72
45	router0	CacheHits	0
45	router0	CacheMisses	72
46	router0	CacheHits	0
46	router0	CacheMisses	72
47	router0	CacheHits	0
47	router0	CacheMisses	75
48	router0	CacheHits	0
48	router0	CacheMisses	72
49	router0	CacheHits	0
49	router0	CacheMisses	72
50	router0	CacheHits	0
50	router0	CacheMisses	72
51	router0	CacheHits	0
51	router0	CacheMisses	75
52	router0	CacheHits	0
52	router0	CacheMisses	72
53	router0	CacheHits	0
53	router0	CacheMisses	72
54	router0	CacheHits	0
54	router0	CacheMisses	72
55	router0	CacheHits	0
55	router0	CacheMisses	75
56	router0	CacheHits	0
56	router0	CacheMisses	72
57	router0	CacheHits	0
57	router0	CacheMisses	72
58	router0	CacheHits	0
58	router0	CacheMisses	72
59	router0	CacheHits	0
59	router0	CacheMisses	75
60	router0	CacheHits	0
60	router0	CacheMisses	72
61	router0	CacheHits	0
61	router0	CacheMisses	72
62	router0	CacheHits	0
62	router0	CacheMisses	72
63	router0	CacheHits	0
63	router0	CacheMisses	75
64	router0	CacheHits	0
64	router0	CacheMisses	72
65	router0	CacheHits	0
65	router0	CacheMisses	72
66	router0	CacheHits	0
66	router0	CacheMisses	72
67	router0	CacheHits	0
67	router0	CacheMisses	75
68	router0	CacheHits	0
68	router0	CacheMisses	72
69	router0	CacheHits	0
69	router0	CacheMisses	72
70	router0	CacheHits	0
70	router0	CacheMisses	72
71	router0	CacheHits	0
71	router0	CacheMisses	75
72	router0	CacheHits	0
72	router0	CacheMisses	72
73	router0	CacheHits	0
73	router0	CacheMisses	72
74	router0	CacheHits	0
74	router0	CacheMisses	72
75	router0	CacheHits	0
75	router0	CacheMisses	74
76	router0	CacheHits	0
76	router0	CacheMisses	73
77	router0	CacheHits	0
77	router0	CacheMisses	72
78	router0	CacheHits	0
78	router0	CacheMisses	72
79	router0	CacheHits	0
79	router0	CacheMisses	74
80	router0	CacheHits	0
80	router0	CacheMisses	73
81	router0	CacheHits	0
81	router0	CacheMisses	72
82	router0	CacheHits	0
82	router0	CacheMisses	72
83	router0	CacheHits	0
83	router0	CacheMisses	74
84	router0	CacheHits	0
84	router0	CacheMisses	73
85	router0	CacheHits	0
85	router0	CacheMisses	72
86	router0	CacheHits	0
86	router0	CacheMisses	72
87	router0	CacheHits	0
87	router0	CacheMisses	74
88	router0	CacheHits	0
88	router0	CacheMisses	73
89	router0	CacheHits	0
89	router0	CacheMisses	72
90	router0	CacheHits	0
90	router0	CacheMisses	72
91	router0	CacheHits	0
91	router0	CacheMisses	74
92	router0	CacheHits	0
92	router0	CacheMisses	73
93	router0	CacheHits	0
93	router0	CacheMisses	72
94	router0	CacheHits	0
94	router0	CacheMisses	72
95	router0	CacheHits	0
95	router0	CacheMisses	74
96	router0	CacheHits	0
96	router0	CacheMisses	73
97	router0	CacheHits	0
97	router0	CacheMisses	72
98	router0	CacheHits	0
98	router0	CacheMisses	72
99	router0	CacheHits	0
99	router0	CacheMisses	72
100	router0	CacheHits	0
100	router0	CacheMisses	75
101	router0	CacheHits	7
101	router0	CacheMisses	68
102	router0	CacheHits	47
102	router0	CacheMisses	48
103	router0	CacheHits	48
103	router0	CacheMisses	48
104	router0	CacheHits	47
104	router0	CacheMisses	50
105	router0	CacheHits	47
105	router0	CacheMisses	48
106	router0	CacheHits	48
106	router0	CacheMisses	48
107	router0	CacheHits	47
107	router0	CacheMisses	48
108	router0	CacheHits	47
108	router0	CacheMisses	50
109	router0	CacheHits	48
109	router0	CacheMisses	48
110	router0	CacheHits	47
110	router0	CacheMisses	48
111	router0	CacheHits	47
111	router0	CacheMisses	48
112	router0	CacheHits	48
112	router0	CacheMisses	59
113	router0	CacheHits	47
113	router0	CacheMisses	72
114	router0	CacheHits	47
114	router0	CacheMisses	72
115	router0	CacheHits	48
115	router0	CacheMisses	72
116	router0	CacheHits	47
116	router0	CacheMisses	75
117	router0	CacheHits	47
117	router0	CacheMisses	72
118	router0	CacheHits	48
118	router0	CacheMisses	72
119	router0	CacheHits	47
119	router0	CacheMisses	72
120	router0	CacheHits	47
120	router0	CacheMisses	75
121	router0	CacheHits	48
121	router0	CacheMisses	72
122	router0	CacheHits	47
122	router0	CacheMisses	72
123	router0	CacheHits	47
123	router0	CacheMisses	72
124	router0	CacheHits	48
124	router0	CacheMisses	75
125	router0	CacheHits	47
125	router0	CacheMisses	72
126	router0	CacheHits	47
126	router0	CacheMisses	72
127	router0	CacheHits	48
127	router0	CacheMisses	72
128	router0	CacheHits	47
128	router0	CacheMisses	75
129	router0	CacheHits	47
129	router0	CacheMisses	72
130	router0	CacheHits	48
130	router0	CacheMisses	72
131	router0	CacheHits	47
131	router0	CacheMisses	72
132	router0	CacheHits	47
132	router0	CacheMisses	75
133	router0	CacheHits	48
133	router0	CacheMisses	72
134	router0	CacheHits	47
134	router0	CacheMisses	72
135	router0	CacheHits	47
135	router0	CacheMisses	72
136	router0	CacheHits	48
136	router0	CacheMisses	75
137	router0	CacheHits	47
137	router0	CacheMisses	72
138	router0	CacheHits	47
138	router0	CacheMisses	72
139	router0	CacheHits	48
139	router0	CacheMisses	72
140	router0	CacheHits	47
140	router0	CacheMisses	75
141	router0	CacheHits	47
141	router0	CacheMisses	72
142	router0	CacheHits	48
142	router0	CacheMisses	72
143	router0	CacheHits	47
143	router0	CacheMisses	72
144	router0	CacheHits	47
144	router0	CacheMisses	75
145	router0	CacheHits	48
145	router0	CacheMisses	72
146	router0	CacheHits	47
146	router0	CacheMisses	72
147	router0	CacheHits	47
147	router0	CacheMisses	72
148	router0	CacheHits	48
148	router0	CacheMisses	75
149	router0	CacheHits	47
149	router0	CacheMisses	72
150	router0	CacheHits	47
150	router0	CacheMisses	72
151	router0	CacheHits	48
151	router0	CacheMisses	72
152	router0	CacheHits	47
152	router0	CacheMisses	75
153	router0	CacheHits	47
153	router0	CacheMisses	72
154	router0	CacheHits	48
154	router0	CacheMisses	72
155	router0	CacheHits	47
155	router0	CacheMisses	72
156	router0	CacheHits	47
156	router0	CacheMisses	75
157	router0	CacheHits	47
157	router0	CacheMisses	72
158	router0	CacheHits	48
158	router0	CacheMisses	72
159	router0	CacheHits	47
159	router0	CacheMisses	72
160	router0	CacheHits	47
160	router0	CacheMisses	75
161	router0	CacheHits	48
161	router0	CacheMisses	72
162	router0	CacheHits	47
162	router0	CacheMisses	72
163	router0	CacheHits	47
163	router0	CacheMisses	72
164	router0	CacheHits	48
164	router0	CacheMisses	75
165	router0	CacheHits	47
165	router0	CacheMisses	72
166	router0	CacheHits	47
166	router0	CacheMisses	72
167	router0	CacheHits	48
167	router0	CacheMisses	72
168	router0	CacheHits	47
168	router0	CacheMisses	75
169	router0	CacheHits	47
169	router0	CacheMisses	72
170	router0	CacheHits	48
170	router0	CacheMisses	72
171	router0	CacheHits	47
171	router0	CacheMisses	72
172	router0	CacheHits	47
172	router0	CacheMisses	75
173	router0	CacheHits	48
173	router0	CacheMisses	72
174	router0	CacheHits	47
174	router0	CacheMisses	72
175	router0	CacheHits	47
175	router0	CacheMisses	72
176	router0	CacheHits	48
176	router0	CacheMisses	73
177	router0	CacheHits	47
177	router0	CacheMisses	74
178	router0	CacheHits	47
178	router0	CacheMisses	72
179	router0	CacheHits	48
179	router0	CacheMisses	72
180	router0	CacheHits	47
180	router0	CacheMisses	73
181	router0	CacheHits	47
181	router0	CacheMisses	74
182	router0	CacheHits	48
182	router0	CacheMisses	72
183	router0	CacheHits	47
183	router0	CacheMisses	72
184	router0	CacheHits	47
184	router0	CacheMisses	73
185	router0	CacheHits	48
185	router0	CacheMisses	74
186	router0	CacheHits	47
186	router0	CacheMisses	72
187	router0	CacheHits	47
187	router0	CacheMisses	72
188	router0	CacheHits	48
188	router0	CacheMisses	73
189	router0	CacheHits	47
189	router0	CacheMisses	74
190	router0	CacheHits	47
190	router0	CacheMisses	72
191	router0	CacheHits	48
191	router0	CacheMisses	72
192	router0	CacheHits	47
192	router0	CacheMisses	72
193	router0	CacheHits	47
193	router0	CacheMisses	75
194	router0	CacheHits	48
194	router0	CacheMisses	72
195	router0	CacheHits	47
195	router0	CacheMisses	72
196	router0	CacheHits	47
196	router0	CacheMisses	72
197	router0	CacheHits	48
197	router0	CacheMisses	75
198	router0	CacheHits	47
198	router0	CacheMisses	72
199	router0	CacheHits	47
199	router0	CacheMisses	72
200	router0	CacheHits	48
200	router0	CacheMisses	72
201	router0	CacheHits	47
201	router0	CacheMisses	75
